HOLEID,X,Y,Z,Ag ppm,Al ppm,Au ppm,C ppm,Ca ppm,Cl ppm,Cu ppm,F ppm,Fe ppm,K ppm,Mg ppm,Mn ppm,Na ppm,P ppm,Pb ppm,S ppm,Th ppm,U ppm
6,502.2451749999309,-505.0703199971467,242.66,0.69,36700.0,2.05,800.0,26100.0,2408.43,17400.0,434.9,344600.0,6600.0,6899.999999999999,757.53,16900.0,1024.9,36.59,15700.0,3.24,62.89
6,505.13517499994487,-496.7903199978173,218.71,0.48,21800.0,3.4,2100.0,24100.0,1083.73,12900.0,522.94,458400.00000000006,2500.0,5600.000000000001,1043.96,10100.0,1541.37,36.23,12900.0,1.78,69.43
6,508.20517499989364,-488.5303199980408,194.79,2.79,29100.0,3.33,1500.0,8700.0,368.43,14200.0,918.63,416200.0,7100.0,5800.0,2177.69,8000.0,1268.82,13.68,8600.0,1.81,27.34
6,510.3151749998797,-483.0903199966997,179.08,1.39,55800.0,0.46,1100.0,7400.0,233.75,5300.0,605.0,238299.99999999997,6899.999999999999,19700.0,2717.5,1400.0000000000002,1152.5,4.91,2000.0,3.59,14.04
6,512.435174999875,-477.6703199967742,163.32,0.7,65500.0,0.14,500.0,5900.0,1659.24,2700.0,1532.75,211400.0,16000.0,14400.0,3610.47,1900.0,909.61,3.63,1000.0,4.53,5.82
6,514.8451749999076,-471.7103199977428,145.98,7.45,8700.0,4.82,1400.0000000000002,7200.0,270.35,32000.0,305.83,485100.0,3400.0000000000005,2400.0,1300.07,1600.0,1318.55,17.64,13799.999999999998,1.69,47.9
6,515.8651749999262,-469.19031999632716,138.69,0.62,57100.0,0.2,700.0000000000001,4000.0,3040.0,2600.0,829.52,281300.0,21100.0,5200.0,5099.28,4500.0,315.18,5.29,1100.0,3.14,6.26
6,516.4451749998843,-467.73031999729574,134.48,0.77,60100.0,0.17,700.0000000000001,4000.0,2805.88,2800.0000000000005,805.36,272500.0,20200.0,4900.0,4590.52,3700.0,344.95,5.06,1100.0,3.34,9.7
6,518.3851749999449,-462.89031999744475,120.49,0.74,55199.99999999999,0.54,1000.0,5200.0,4262.0,4100.0,3482.8,287600.0,21800.0,4900.0,4265.2,900.0,351.6,6.95,2300.0,3.41,9.93
6,521.3851749999449,-455.3203199971467,98.45,0.75,59100.0,0.18,3100.0,3800.0,3524.09,3100.0,2347.27,264100.0,24800.0,4500.0,3465.91,800.0,336.36,4.11,1100.0,3.58,5.6
6,523.2351749999216,-450.81031999737024,85.22,1.06,55700.0,0.39,600.0,4500.0,3937.74,5400.0,3374.84,274500.0,28500.0,3200.0,4267.74,600.0,325.16,4.58,1800.0,3.03,6.3
6,525.3551749999169,-445.86031999625266,70.58,0.87,53800.0,0.28,900.0,5900.0,4271.28,4100.0,3396.8,271300.0,24500.0,4200.0,3466.08,5300.0,336.4,5.53,1700.0000000000002,3.44,8.26
6,528.8551749999169,-438.0003199968487,47.1,0.54,53500.0,0.3,800.0,7000.0,7076.24,2600.0,3680.08,283300.0,28800.0,3600.0,3085.44,10300.0,337.84,5.7,1300.0,3.36,8.77
6,532.4251749998657,-430.1703199967742,23.63,0.64,59100.0,0.19,1300.0,4800.0,4139.52,3000.0,3802.96,264700.0,28000.0,4100.0,4148.56,2300.0,303.28,3.96,1000.0,3.12,5.01
6,536.0351749999681,-422.2903199978173,0.18,1.31,61200.0,0.15,2300.0,12700.0,3438.56,5600.000000000001,2325.84,212700.0,20500.0,4600.0,2825.96,16500.0,304.16,26.72,2200.0,5.7,49.18
6,539.6151749999262,-414.64031999744475,-22.5,0.46,55599.99999999999,0.1,1800.0,3700.0,3493.44,2300.0,2511.65,268000.0,26000.0,3600.0,4371.86,700.0000000000001,325.85,3.59,800.0,3.37,3.62
6,542.825174999889,-407.7903199978173,-42.68,0.57,57699.99999999999,0.15,5600.000000000001,4300.0,4106.42,2700.0,2570.94,279200.0,25800.0,3300.0,4184.06,400.0,704.11,4.06,900.0,6.07,5.07
6,545.6351749999449,-402.0303199980408,-59.93,0.88,56000.0,0.21,5600.000000000001,4100.0,1954.09,3600.0,949.88,250799.99999999997,12900.0,9300.0,2747.19,300.0,329.12,3.88,1400.0000000000002,3.42,6.29
6,547.185174999875,-398.9303199965507,-69.3,1.86,56900.00000000001,0.88,2000.0,2500.0,1983.1,6500.0,1213.45,311700.0,13700.000000000002,10100.0,2772.41,400.0,334.48,5.81,2400.0,3.91,10.35
6,547.8151749998797,-397.6803199965507,-73.05,0.99,57300.00000000001,0.28,1300.0,4100.0,2576.67,3500.0,2346.08,246200.0,15900.0,6000.0,2158.43,400.0,375.69,4.92,1300.0,4.51,6.1
6,549.325174999889,-394.72031999751925,-81.9,1.33,53600.0,0.45,1100.0,6400.0,3968.55,6000.0,4627.25,274400.0,22300.0,3600.0,3544.35,500.0,391.01,6.21,2400.0,3.73,10.62
6,550.9851749999216,-391.47031999751925,-91.53,0.62,58300.0,0.13,1000.0,7000.0,4326.76,2500.0,3572.65,245000.0,22400.000000000004,3800.0,8650.0,600.0,322.65,3.12,900.0,3.87,4.42
6,553.2751749999588,-387.1803199965507,-104.28,1.46,43099.99999999999,1.17,1100.0,16600.0,3549.88,11200.000000000002,3742.68,324900.0,14900.0,10000.0,6636.46,2500.0,840.98,32.13,8100.000000000001,5.0,70.66
6,555.7251749999123,-382.6603199969977,-117.57,1.13,58000.0,0.52,800.0,6899.999999999999,1153.75,4100.0,2517.81,254300.0,9600.0,18900.0,3019.38,700.0000000000001,1154.38,5.33,1600.0,4.64,10.27
6,558.1051749999169,-378.2803199980408,-130.28,4.4,37100.0,0.97,800.0,6100.0,1484.77,17500.0,2332.67,411200.0,9900.0,13799.999999999998,3101.4,500.0,1231.63,15.35,6500.0,4.21,39.93
6,560.5851749998983,-373.6603199969977,-143.64,0.95,63300.0,0.27,600.0,6800.000000000001,1439.15,3700.0,2573.19,242399.99999999997,15800.0,18000.0,2284.89,600.0,945.32,5.29,1200.0,6.37,9.81
6,562.1551749999635,-370.7403199970722,-152.11,2.13,45100.0,0.54,500.0,5100.0,1097.27,7600.0,1600.45,346300.0,8800.0,13899.999999999998,3098.41,400.0,696.36,7.61,2400.0,3.79,15.57
7,-367.96482500003185,394.77968000248075,245.13,2.09,65600.0,0.06,500.0,4800.0,2111.36,6300.0,1568.04,165600.0,19700.0,7800.0,2946.62,2900.0,1411.72,6.4,1600.0,17.76,9.73
7,-371.6648250001017,386.7396800033748,221.75,0.94,65000.0,0.09,300.0,4100.0,2657.4,3200.0,1762.3,164600.0,23200.0,10000.0,2899.15,1100.0,1450.98,5.74,1000.0,16.67,8.17
7,-375.4848250000505,378.5796800032258,198.43,0.27,72500.0,0.02,300.0,3900.0,3023.32,800.0,1721.18,132600.0,38500.0,6300.0,2612.37,3200.0,1494.66,4.72,300.0,19.29,5.84
7,-379.4048250000924,370.35968000255525,175.15,0.7,68000.0,0.2,700.0000000000001,3700.0,3282.54,2300.0,1960.02,176400.0,27599.999999999996,11399.999999999998,3453.18,1100.0,1457.86,6.07,800.0,18.58,8.34
7,-383.4148250001017,362.0896800030023,151.9,0.8,69800.0,0.11,900.0,6300.0,3475.0,2300.0,1888.22,148300.0,24000.0,13200.0,1927.24,11600.0,1447.76,5.52,700.0000000000001,18.16,6.83
7,-386.5848250000272,355.6796800028533,134.16,0.9,71100.0,0.19,700.0000000000001,4300.0,2808.34,2800.0000000000005,2084.08,153600.0,23800.0,12600.0,1841.25,5500.0,1544.08,5.39,900.0,17.56,7.56
7,-396.22482500004116,337.18968000262976,83.51,1.46,58800.0,0.31,500.0,4500.0,2562.98,5600.000000000001,2467.84,208000.0,14600.0,13899.999999999998,2568.17,6400.0,1345.58,8.43,1800.0,14.04,13.82
7,-400.7648250000784,328.7496800031513,60.42,0.6,65300.0,0.12,400.0,3600.0,1543.08,1800.0,1464.86,158700.0,14400.0,14100.0,1802.69,6200.0,1244.96,5.16,600.0,15.49,5.69
7,-405.4048250000924,320.1796800028533,37.4,0.95,62000.0,0.16,400.0,3700.0,1661.42,3300.0,1395.22,190900.0,12100.0,13300.0,3553.1,4800.0,1208.98,6.13,1200.0,15.19,7.52
